FollowId,MemberId,EmazeMeGroupId,MemberSince
2,240238a0-ce99-4ea7-ac77-eff09fb5eff2,2,0001-01-03 00:00:00.000
3,e9477dec-c960-4f11-a563-9781cf8b1c15,2,0001-01-03 00:00:00.000
4,93aff917-ec28-4201-b1d2-788e275671b2,2,0001-01-03 00:00:00.000
5,41274e54-612f-4b03-9461-63ae9c74ab07,2,0001-01-03 00:00:00.000
6,371088ec-ccd9-4c1e-acb3-6c3b43c84627,2,0001-01-03 00:00:00.000
7,86e11a69-4711-4dec-98b9-b3d8dcc0c95f,2,0001-01-03 00:00:00.000
8,7449331f-7776-4458-854f-30f7947ff208,2,0001-01-03 00:00:00.000
9,2656ebcc-1919-4bbb-b34c-ffbdbfc2082b,2,0001-01-03 00:00:00.000
10,f4d3e5b1-d9ab-4a1c-be6b-0ddf9b26e253,2,0001-01-03 00:00:00.000
11,8bcebd96-cbd3-4853-89b5-305affb2e482,2,0001-01-03 00:00:00.000
12,7d83e115-bbe0-4eef-8a2e-b211e3c96513,2,0001-01-03 00:00:00.000
14,b6d10dc9-189f-496d-9956-af760c43278b,2,0001-01-03 00:00:00.000
107,69664288-28e9-4cef-b460-47dded38e63e,13,2020-05-17 12:51:48.4864812
108,c2f3ffb5-01c4-4669-9579-4bd5569bb24f,13,2020-05-17 12:58:51.1635354
109,a328005f-1ca5-4c79-961f-4eab118a32ab,13,2020-05-17 12:59:45.0386588
110,41274e54-612f-4b03-9461-63ae9c74ab07,13,2020-05-17 13:09:46.1776610
111,09f8c3f4-0528-4d15-aed7-7ff55e68343c,2,2020-05-24 09:44:17.5503198
112,c897aa00-32e7-4a53-8943-c27afd8dfd80,1,2020-05-24 13:54:21.9095893
113,e36d7ce9-0251-4a77-97d6-38f6e83ff5c5,1,2020-05-24 13:54:37.7303451
114,00b1d361-9409-4061-a83d-a0c450e5d6d2,1,2020-05-24 13:54:58.2852134
115,bfe183a3-5a3e-45f0-bb81-a3255e5f4998,1,2020-05-24 13:55:05.3941727
116,d92655bf-cfec-45b2-98dc-634a9bb01bf2,1,2020-05-24 13:55:13.3523697
117,4d1673db-86a9-464d-afd8-dc1af19a0293,1,2020-05-24 13:55:19.6382863
