GroupID,GroupName,Admin,Privecy,Visibility,priority,varified,AssociatedGroupsJson,ModeratorsJson,DateCreated,DateUpdated,AboutGroup,EmazeSite,GroupCoverUrl,GroupPhotoUrl,SiteThumnail
1,BeitarJerusalem,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,1,0,0,0,NULL,NULL,2020-04-05 10:27:38.0531290,2020-04-05 10:27:38.0531290,Group of Beitar players,https://emaze.me/diogoverdasca,//userscontent2.emaze.com/userinfo//cover/2dc9b907-e9c5-4723-a843-b2e372fd1ca0.png,//userscontent2.emaze.com/userinfo//image/7c4d1d12-9dd0-4a97-94e1-3158dcae436d.jpg,//storage.googleapis.com/userscontent2.emaze.com/thumbnails/p16656019.jpeg?202003221226128890
2,BeitarFans,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,1,0,0,0,NULL,NULL,2020-04-05 10:27:38.0531290,2020-04-05 10:27:38.0531290,Group for fans of Beitar Jerusalem f.c.,NULL,//userscontent2.emaze.com/userinfo//cover/b397a67d-e1df-46bf-9f9a-8833d5282637.jpg,//userscontent2.emaze.com/userinfo//image/1e5ac276-bbe8-4db6-a77d-8382a5afcc97.PNG,NULL
3,newgroupwithdate2,NULL,0,0,0,0,NULL,NULL,2020-04-05 12:00:36.2022096,2020-04-05 12:00:36.2022096,NULL,NULL,NULL,NULL,NULL
4,another-group,NULL,0,0,0,0,NULL,NULL,2020-04-20 08:57:01.8046276,2020-04-20 08:57:01.8046276,NULL,NULL,NULL,NULL,NULL
5,"""""",NULL,0,0,0,0,NULL,NULL,2020-04-20 10:44:39.2241056,2020-04-20 10:44:39.2241056,NULL,NULL,NULL,NULL,NULL
6,thisisgroup,NULL,0,0,0,0,NULL,NULL,2020-04-20 10:47:56.9358408,2020-04-20 10:47:56.9358408,NULL,NULL,NULL,NULL,NULL
7,test111,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 11:46:05.0918434,2020-04-20 11:46:05.0918434,NULL,NULL,NULL,NULL,NULL
8,thisisgroup222,NULL,0,0,0,0,NULL,NULL,2020-04-20 12:26:01.5647857,2020-04-20 12:26:01.5647857,NULL,NULL,NULL,NULL,NULL
9,asdasd,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:21:25.9275370,2020-04-20 13:21:25.9275370,NULL,NULL,NULL,NULL,NULL
10,asdasda,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:31:33.0225036,2020-04-20 13:31:33.0225036,NULL,NULL,NULL,//userscontent2.emaze.com/userinfo//image/63b3d820-34ba-4fb6-9e39-811236e3b9cb.jpg,NULL
11,asdasdaaa,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:32:37.5086859,2020-04-20 13:32:37.5086859,NULL,NULL,NULL,NULL,NULL
12,Moregroups,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-05-05 11:16:07.4796872,2020-05-05 11:16:07.4796872,NULL,NULL,//userscontent2.emaze.com/userinfo//cover/cc22f664-a089-43e3-bc1a-3234cd07de48.jpg,//userscontent2.emaze.com/userinfo//image/62fdca26-8e38-45af-b9a8-3d1fe0272d07.jpg,NULL
13,Emaze,e9477dec-c960-4f11-a563-9781cf8b1c15,2,0,0,0,NULL,NULL,2020-05-17 12:50:31.7140545,2020-05-17 12:50:31.7140545,NULL,NULL,//userscontent2.emaze.com/userinfo//cover/379dc349-0e63-4b80-b63c-955d6326ac89.png,//userscontent2.emaze.com/userinfo//image/26956f3c-bef6-4253-be82-e588b88c3d11.png,NULL
14,Design and Marketing Team,886b35c1-7e9d-46da-b9ff-d4099d142194,1,0,0,0,NULL,NULL,2020-05-26 13:22:05.4708510,2020-05-26 13:22:05.4708510,NULL,NULL,"Be your best hipster self with these essential guidelines!🕶
Create your free Emaze website using the ""Hipster"" template here: www.emaze.com ☕️
#emaze #hipster #guidelines #artsy #coffee #create #creative #website #free #webdesign",NULL,NULL
