FollowId,FollowerId,EmazeMeGroupId,FollowingSince
3,240238a0-ce99-4ea7-ac77-eff09fb5eff2,1,0001-01-03 00:00:00.000
4,240238a0-ce99-4ea7-ac77-eff09fb5eff2,2,0001-01-03 00:00:00.000
5,e9477dec-c960-4f11-a563-9781cf8b1c15,1,0001-01-03 00:00:00.000
6,e9477dec-c960-4f11-a563-9781cf8b1c15,2,0001-01-03 00:00:00.000
7,93aff917-ec28-4201-b1d2-788e275671b2,1,0001-01-03 00:00:00.000
8,93aff917-ec28-4201-b1d2-788e275671b2,2,0001-01-03 00:00:00.000
9,41274e54-612f-4b03-9461-63ae9c74ab07,1,0001-01-03 00:00:00.000
10,41274e54-612f-4b03-9461-63ae9c74ab07,2,0001-01-03 00:00:00.000
11,371088ec-ccd9-4c1e-acb3-6c3b43c84627,1,0001-01-03 00:00:00.000
12,371088ec-ccd9-4c1e-acb3-6c3b43c84627,2,0001-01-03 00:00:00.000
13,86e11a69-4711-4dec-98b9-b3d8dcc0c95f,1,0001-01-03 00:00:00.000
14,86e11a69-4711-4dec-98b9-b3d8dcc0c95f,2,0001-01-03 00:00:00.000
15,7449331f-7776-4458-854f-30f7947ff208,1,0001-01-03 00:00:00.000
16,7449331f-7776-4458-854f-30f7947ff208,2,0001-01-03 00:00:00.000
17,2656ebcc-1919-4bbb-b34c-ffbdbfc2082b,1,0001-01-03 00:00:00.000
18,2656ebcc-1919-4bbb-b34c-ffbdbfc2082b,2,0001-01-03 00:00:00.000
19,f4d3e5b1-d9ab-4a1c-be6b-0ddf9b26e253,1,0001-01-03 00:00:00.000
20,f4d3e5b1-d9ab-4a1c-be6b-0ddf9b26e253,2,0001-01-03 00:00:00.000
21,8bcebd96-cbd3-4853-89b5-305affb2e482,1,0001-01-03 00:00:00.000
22,8bcebd96-cbd3-4853-89b5-305affb2e482,2,0001-01-03 00:00:00.000
23,7d83e115-bbe0-4eef-8a2e-b211e3c96513,1,0001-01-03 00:00:00.000
24,7d83e115-bbe0-4eef-8a2e-b211e3c96513,2,0001-01-03 00:00:00.000
27,b6d10dc9-189f-496d-9956-af760c43278b,1,0001-01-03 00:00:00.000
28,b6d10dc9-189f-496d-9956-af760c43278b,2,0001-01-03 00:00:00.000
55,87e2923a-fd01-43ac-8369-864081916f83,1,2020-04-22 13:52:58.4485480
56,87e2923a-fd01-43ac-8369-864081916f83,2,2020-04-22 13:52:58.4660735
79,e9477dec-c960-4f11-a563-9781cf8b1c15,13,2020-05-17 13:29:15.4712414
80,7449331f-7776-4458-854f-30f7947ff208,13,2020-05-18 07:20:56.1519606
81,38dee454-fd00-4a2f-937d-e10c74b27b42,13,2020-05-19 17:54:26.0287798
82,61b30fba-24f1-4bba-94ad-fe85255b225c,13,2020-05-20 20:11:12.3811762
83,db2995b1-3963-4631-b702-65d02fca3b81,2,2020-05-24 08:43:48.6673859
84,db2995b1-3963-4631-b702-65d02fca3b81,13,2020-05-24 08:43:51.2356154
87,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,13,2020-05-24 09:20:22.3050831
88,886b35c1-7e9d-46da-b9ff-d4099d142194,14,2020-05-26 13:45:57.9156225
89,db8d639f-7c6a-432e-8e43-07ea98b41607,14,2020-05-27 12:02:07.8075975
90,db8d639f-7c6a-432e-8e43-07ea98b41607,13,2020-05-27 12:02:09.0966485
91,db8d639f-7c6a-432e-8e43-07ea98b41607,1,2020-05-27 12:02:09.4937443
92,db8d639f-7c6a-432e-8e43-07ea98b41607,2,2020-05-27 12:02:10.3418376
93,240238a0-ce99-4ea7-ac77-eff09fb5eff2,14,2020-05-29 10:35:25.4087434
95,886b35c1-7e9d-46da-b9ff-d4099d142194,15,2020-05-31 08:26:31.9982186
96,7449331f-7776-4458-854f-30f7947ff208,15,2020-05-31 08:30:25.6025171
97,886b35c1-7e9d-46da-b9ff-d4099d142194,2,2020-05-31 08:58:27.7631160
98,886b35c1-7e9d-46da-b9ff-d4099d142194,1,2020-05-31 08:58:29.7591159
99,886b35c1-7e9d-46da-b9ff-d4099d142194,13,2020-05-31 08:58:30.2334887
100,240238a0-ce99-4ea7-ac77-eff09fb5eff2,15,2020-05-31 11:30:42.3868468
101,e9477dec-c960-4f11-a563-9781cf8b1c15,15,2020-05-31 12:02:14.9417777
102,db8d639f-7c6a-432e-8e43-07ea98b41607,15,2020-05-31 12:06:43.6363121
103,db2995b1-3963-4631-b702-65d02fca3b81,1,2020-05-31 14:42:14.4403856
104,db2995b1-3963-4631-b702-65d02fca3b81,15,2020-05-31 14:42:15.3625910
105,db2995b1-3963-4631-b702-65d02fca3b81,14,2020-05-31 14:42:16.6512458
106,fc647fca-2dfe-43de-8731-c3e2920269f7,26,2020-06-01 09:07:37.3003922
107,3ecaaac4-a048-419d-a8b3-75c835287129,26,2020-06-01 09:07:48.1296440
108,278231bc-75dd-4fcf-a610-36ddc1df8455,26,2020-06-01 09:08:27.4614010
109,d9c445f4-3080-49aa-bfab-f39222b8bcbb,26,2020-06-01 09:08:41.5128522
110,d597b728-0311-45e7-a69d-378ffb621c18,26,2020-06-01 09:08:55.6640187
111,3199cab4-ee6d-4a7e-b629-7c4adf5f5fb4,26,2020-06-01 09:09:06.5243515
112,a0086ebc-c7da-414b-b56f-1db40c1bcdd0,26,2020-06-01 09:10:02.0483994
113,f63ce4dc-b58a-4580-9b8a-89fa785581d1,26,2020-06-01 09:10:10.6487419
114,2415e720-8d4c-44c7-9cbf-cb1e76dcf4e8,26,2020-06-01 09:10:25.7804841
115,715b90a2-1911-49fa-b20c-5ff4ab9e6318,26,2020-06-01 09:10:37.2254576
116,b5105d64-12cb-4e65-b369-6454c1652a0b,26,2020-06-01 09:10:45.8499915
117,ab413b6f-7cd5-4c2f-8c15-49b84b5dbeb8,26,2020-06-01 09:10:56.4133682
118,e0df85a7-f171-4451-9432-bf18ffc9d6de,26,2020-06-01 09:11:10.9771872
119,64f3a010-b89f-4160-85ac-2ee1baff6272,26,2020-06-01 09:11:21.2620744
120,f3b54f4d-eed5-4553-afb2-8ea9a4b09924,26,2020-06-01 09:11:32.1647196
121,939a30e5-db50-4760-8411-830222307d88,26,2020-06-01 09:11:43.3589026
122,cd1c6d6b-541b-412e-a1c5-fc13431355e8,26,2020-06-01 09:12:21.9599440
123,a522db1d-8150-48ec-8b37-e8f65467a325,26,2020-06-01 09:12:32.0301417
124,8f138dce-bc62-4c97-ad8c-d008662810f6,26,2020-06-01 09:12:45.1796566
125,24c1d879-cb12-4582-87b1-982c3b9ef4e8,26,2020-06-01 09:12:55.1559135
126,ce663041-49a8-40fc-8b12-83299e98b5e4,26,2020-06-01 09:13:03.0539175
127,ca945ca7-929b-4fe9-81cf-bc23e744f6d1,26,2020-06-01 09:13:12.1110708
128,3b031f90-3042-4eec-b835-852c36f1d5fe,26,2020-06-01 09:13:30.9669810
129,9736e500-1d68-4a1b-9854-2cac3f530838,26,2020-06-01 09:13:44.8058963
130,79d3466d-a484-47ec-8649-d057223f2c03,26,2020-06-01 09:13:55.3799063
131,fb27dda9-3085-42a9-b9e0-fe73da13144b,26,2020-06-01 09:14:08.1283667
132,41351c96-8e56-49d7-a41a-735a71a2b4c8,26,2020-06-01 09:14:17.6412328
133,81b2770b-c680-4970-b0c8-822723426e83,26,2020-06-01 09:14:28.1523560
134,9ffaf713-2e6b-4171-9aaf-8f29acb64d68,26,2020-06-01 09:14:37.4146559
135,c3902762-a14c-4e70-91e9-df6bea330c98,26,2020-06-01 09:14:49.3649716
136,656c4394-170d-4111-89ac-25b7e453ab69,26,2020-06-01 09:15:06.1309986
137,75c08222-aef4-4cf7-ba04-36b50ded02d4,26,2020-06-01 09:15:23.2641485
138,e2efd883-61c0-494c-9714-3e5edbdf59ca,26,2020-06-01 09:15:42.4478707
139,946df718-4583-4e65-bace-0232eaf41a4e,26,2020-06-01 09:15:57.8603558
140,1c1994c7-9bb0-477d-83dd-dc0d6f822c10,26,2020-06-01 09:16:12.9589679
141,e0f032c4-0363-4c20-85ba-9753a81a960f,26,2020-06-01 09:16:27.2862839
142,c68ee241-81a7-4a4f-8ab6-9cfc8ac641d2,26,2020-06-01 09:16:49.1332903
143,3d84086f-08e4-4729-8191-7096a7747cc3,26,2020-06-01 09:16:59.0756128
144,db2995b1-3963-4631-b702-65d02fca3b81,26,2020-06-01 09:19:36.3127016
145,fbd9fc95-9d77-493f-842d-cbd5e8a72baf,26,2020-06-01 09:22:58.7104152
146,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,14,2020-06-01 11:45:37.6652815
147,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,15,2020-06-01 11:45:38.8229426
148,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,2,2020-06-01 11:45:39.5186788
149,886b35c1-7e9d-46da-b9ff-d4099d142194,26,2020-06-02 08:07:37.4558667
151,a328005f-1ca5-4c79-961f-4eab118a32ab,15,2020-06-04 15:49:21.3858598
152,a328005f-1ca5-4c79-961f-4eab118a32ab,1,2020-06-04 15:49:22.0973740
153,09d32136-ed59-49fd-b553-5c1448aa92fd,26,2020-06-04 21:21:18.5667404
154,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,30,2020-06-07 13:43:02.0931147
155,efd69786-6e4f-46cb-b392-506af27255c6,13,2020-06-09 19:58:21.5330634
156,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,31,2020-06-10 12:01:31.5828108
157,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,32,2020-06-10 12:16:42.7131666
158,a328005f-1ca5-4c79-961f-4eab118a32ab,26,2020-06-10 12:50:04.3964614
