ThemeCategoryID,themeID,categoryID
580,46965,3
583,4024,3
585,33458,1
587,11055,1
588,13078,1
589,10,1
590,47376,1
591,3,1
592,9054,1
594,11056,4
595,9048,1
596,7,1
597,13061,4
599,6042,1
601,4,5
605,8044,6
610,2021,2
613,1020,2
614,9054,2
617,8044,2
618,1,2
620,18506,2
621,47371,1
626,47373,1
627,47358,1
630,47372,1
632,47378,3
633,47415,5
637,47420,4
642,47422,5
645,47424,1
646,47427,4
649,47432,5
651,47434,6
652,47334,3
653,47332,3
654,47327,2
655,47350,1
656,47349,2
660,47314,45
661,47314,46
662,47314,47
689,47313,45
690,47326,45
705,47400,46
713,47412,45
714,47412,45
720,47404,47
721,47405,47
722,47406,47
727,47408,47
748,47328,111
749,47328,112
750,47328,113
784,47328,111
785,47328,112
786,47328,113
790,47328,111
791,47328,112
792,47328,113
857,47461,68
858,47460,68
901,47462,68
909,47456,102
915,47468,101
919,47341,65
921,47342,65
981,13066,6
1005,47377,3
1006,47425,1
1007,47391,1
1011,47418,5
1012,47440,6
1030,47511,65
1049,47337,65
1050,47338,65
1051,47339,65
1132,47492,68
1236,47413,68
1248,47548,3
1268,47337,65
1270,47338,65
1271,47339,65
1296,47511,65
1301,47492,64
1313,47341,65
1315,47342,65
1403,47343,101
1404,47343,102
1405,47414,102
1406,47351,101
1432,47429,6
1433,47565,1
1434,47565,2
1435,47565,3
1436,47565,4
1437,47565,5
1438,47565,6
1439,47566,1
1440,47566,2
1441,47566,3
1442,47566,4
1443,47566,5
1444,47566,6
1445,47567,1
1446,47567,2
1447,47567,3
1448,47567,4
1449,47567,5
1450,47567,6
1451,47568,1
1452,47568,2
1453,47568,3
1454,47568,4
1455,47568,5
1456,47568,6
1457,46670,2
1458,46670,3
1459,46670,1
1460,46670,4
1461,46670,5
1462,46670,6
1463,46673,1
1464,46673,2
1465,46673,3
1466,46673,4
1467,46673,5
1468,46673,6
1469,46671,1
1470,46671,2
1471,46671,3
1472,46671,4
1473,46671,5
1474,46671,6
1475,46672,1
1476,46672,2
1477,46672,3
1478,46672,4
1479,46672,5
1480,46672,6
1502,47370,1
1503,47578,1
1507,47576,1
1508,47577,1
1529,47544,68
1530,47544,61
1531,47545,68
1534,47582,1
1554,47472,68
1555,47472,63
1584,47538,68
1585,47538,61
1586,47539,68
1622,47514,68
1623,47514,61
1633,47554,68
1634,47554,61
1678,47589,1
1679,47591,47
1684,47560,68
1685,47560,62
1695,7043,1
1696,47443,102
1697,47443,68
1698,47443,61
1701,47528,68
1702,47528,61
1703,47528,61
1710,47550,68
1711,47550,61
1717,47572,102
1718,47549,68
1719,47549,61
1726,47466,68
1727,47466,61
1728,47570,63
1729,47458,102
1730,47476,101
1731,47475,101
1741,47537,68
1742,47537,63
1746,47587,68
1747,47587,61
1756,47449,68
1757,47449,65
1760,47457,68
1761,47457,65
1762,47457,65
1791,47387,2
1792,47599,102
1797,47532,68
1798,47532,61
1829,47494,68
1830,47494,64
1835,47600,1
1848,47540,68
1849,47540,61
1859,47518,68
1860,47518,61
1865,47509,65
1866,47509,65
1869,47482,68
1870,47482,64
1871,47552,68
1872,47552,63
1873,47551,68
1874,47551,63
1875,47602,68
1876,47602,61
1883,47603,68
1884,47603,61
1885,47421,6
1886,47601,1
1890,47523,68
1891,47523,63
1892,47450,68
1893,47450,102
1894,47450,63
1898,47498,68
1899,47498,64
1900,47442,68
1901,47442,65
1902,47465,68
1903,47465,61
1904,47507,65
1905,47507,65
1906,47519,65
1907,47519,65
1910,47542,68
1911,47542,61
1912,47543,68
1923,47467,65
1924,47467,65
1925,47486,68
1926,47486,64
1929,47497,68
