Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
1,profile,studio.recrearte,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,17ed51e0-636f-4d06-8a83-bcf669dfbb69,300,2020-06-11 12:52:07.3031009,2020-06-11 12:57:07.5647985,0,NULL,0,NULL
2,profile,studio.recrearte,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,f1a3dc6c-9fab-4f55-a79e-47a200867cd5,450,2020-06-11 12:57:22.9161638,2020-06-11 13:04:53.3181095,0,NULL,0,NULL
3,group,Soccer_Players,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,d8229e15-5afa-42ba-acb3-32596fe4aa89,751,2020-06-11 13:05:24.8606073,2020-06-11 13:17:56.7933590,0,NULL,0,NULL
4,group,Soccer_Players,null,e2a8b9fe-2196-4fc5-8644-e2f2c4a42b91,363,2020-06-11 13:18:15.4045611,2020-06-11 13:24:18.6984282,0,NULL,0,NULL
5,group,aaaassss,db2995b1-3963-4631-b702-65d02fca3b81,91b4b752-ad8f-4005-9d5c-4cc609fe2f48,0,2020-06-11 14:34:01.6480697,2020-06-11 14:34:01.6480697,0,NULL,0,NULL
6,profile,ashleydriver,db2995b1-3963-4631-b702-65d02fca3b81,cbdffcbb-e41b-4fa4-9ae2-5a81820072af,900,2020-06-11 14:36:01.0135474,2020-06-11 14:51:01.3568287,0,NULL,0,NULL
7,profile,photoshop-4992,dd1d3618-56c6-4172-a25f-a047cc75139b,921f6d90-994e-4467-9f76-07d5c21f5cd5,0,2020-06-11 14:47:07.7883923,2020-06-11 14:47:07.7883923,0,NULL,0,NULL
8,profile,c800a06c-b2ec-4612-bb14-897c3e18973e,c800a06c-b2ec-4612-bb14-897c3e18973e,08f77fd0-df37-426c-8508-23d9f469069e,0,2020-06-11 14:52:15.2529604,2020-06-11 14:52:15.2529604,0,NULL,0,NULL
9,profile,gallery,c800a06c-b2ec-4612-bb14-897c3e18973e,b76443fa-e0a3-4db6-9570-0c5b72b024be,0,2020-06-11 14:52:42.9833582,2020-06-11 14:52:42.9833582,0,NULL,0,NULL
10,profile,912c72ce-249c-4a6f-986c-af4445fa5959,912c72ce-249c-4a6f-986c-af4445fa5959,ee53a3bc-618a-4a14-b9c4-d586224d36ec,1200,2020-06-11 15:16:27.4320454,2020-06-11 15:36:28.2515818,0,NULL,0,NULL
11,profile,b2acd327-afe2-4f16-9c93-acd72ed67dc9,b2acd327-afe2-4f16-9c93-acd72ed67dc9,9362bcb5-8502-4632-8c37-03d67289098d,0,2020-06-11 15:26:33.2503694,2020-06-11 15:26:33.2503694,0,NULL,0,NULL
12,profile,8bdba7ab-28a1-4674-b7fd-55f2715221d9,8bdba7ab-28a1-4674-b7fd-55f2715221d9,bcf32b83-89f9-47a9-905f-0e4b89b2d6ed,0,2020-06-11 15:41:14.8507269,2020-06-11 15:41:14.8507269,0,NULL,0,NULL
13,profile,70bef174-19c9-44d9-a324-020e45bd8300,70bef174-19c9-44d9-a324-020e45bd8300,f2284fc2-2a73-49ff-9d83-cde3552b4728,122,2020-06-11 16:04:01.6309998,2020-06-11 16:06:03.8571109,0,NULL,0,NULL
14,profile,70bef174-19c9-44d9-a324-020e45bd8300,70bef174-19c9-44d9-a324-020e45bd8300,9381cc66-ac15-45f4-8187-45dc7e1c8b17,60,2020-06-11 16:06:15.8152601,2020-06-11 16:07:16.0741414,0,NULL,0,NULL
15,profile,margherita.vecchietti01,null,f4c45f24-7dc6-4c4b-9978-0eabe3b6d9b8,10651,2020-06-11 16:07:39.2027780,2020-06-11 19:05:11.0497741,0,NULL,0,NULL
16,profile,19nguyena,null,0062b0f1-3208-4597-b314-61991f8a2f05,3660,2020-06-11 16:18:32.9785774,2020-06-11 17:19:33.8927949,0,NULL,0,NULL
17,profile,61889da9-7a9f-4aa2-990a-66836ff5a293,61889da9-7a9f-4aa2-990a-66836ff5a293,19522f27-cfa3-4fb9-b071-fdc11ad2393e,936,2020-06-11 16:22:50.0449356,2020-06-11 16:38:26.1932227,0,NULL,0,NULL
18,profile,0b0315c6-9ef1-4560-aef1-7ea47dbdb104,0b0315c6-9ef1-4560-aef1-7ea47dbdb104,2c91f9fe-b702-4b20-bb5c-8b4fb7a13d02,0,2020-06-11 16:30:03.2110775,2020-06-11 16:30:03.2110775,0,NULL,0,NULL
19,profile,912c72ce-249c-4a6f-986c-af4445fa5959,912c72ce-249c-4a6f-986c-af4445fa5959,2cb13182-fa70-43fd-97fd-577bebcc099d,0,2020-06-11 16:37:44.8535156,2020-06-11 16:37:44.8535156,0,NULL,0,NULL
20,profile,60b976f0-e533-401e-9228-dce2eb34da29,60b976f0-e533-401e-9228-dce2eb34da29,ea2f26ca-51d1-42ed-8b7c-af4379b149ab,0,2020-06-11 17:02:16.2167542,2020-06-11 17:02:16.2167542,0,NULL,0,NULL
21,profile,60b976f0-e533-401e-9228-dce2eb34da29,60b976f0-e533-401e-9228-dce2eb34da29,68708ac0-acf2-48d8-b6b7-04b43b971aac,182,2020-06-11 17:03:08.9758827,2020-06-11 17:06:11.3219358,0,NULL,0,NULL
